1,234.816,,CustomerID,Max of INVOICE DATE,Count of InvoiceNo,Sum of Total sales,days since,days_sincetoday,RSCORE,F SCORE,M SCORE,RFM SCORE,,,,,,,,
,,,12501,40550,160,2089.68,336,4864,1,1,4,114,,,,,,,,
,,,12502,40791,147,3723.87,95,4623,2,1,4,214,,,,,,,,
,,,12503,,1,-1126,40886,45414,1,4,1,141,,,,,,,,
,,,12504,40868,15,114,18,4546,3,4,1,341,,,,,,,,
,,,12505,,1,-4.5,40886,45414,1,4,1,141,,,,,,,,
,,,12506,40654,23,73.5,232,4760,1,3,1,131,,,,,,,,
,,,12507,40752,23,1258.06,134,4662,2,3,3,233,,,,,,,,
,,,12508,40860,69,398.27,26,4554,3,2,2,322,,,,,,,,
,,,12509,40602,7,176.5,284,4812,1,4,1,141,,,,,,,,
,,,12510,40744,33,982.57,142,4670,2,3,3,233,,,,,,,,
,,,12512,40820,34,138.03,66,4594,2,3,1,231,,,,,,,,
,,,12513,40774,36,586.79,112,4640,2,3,2,232,,,,,,,,
,,,12514,40619,51,1017.68,267,4795,1,2,3,123,,,,,,,,
,,,12515,40533,16,383.7,353,4881,1,4,2,142,,,,,,,,
,,,12516,40809,26,1312.06,77,4605,2,3,3,233,,,,,,,,
,,,12517,40858,286,2464.89,28,4556,3,1,4,314,,,,,,,,
,,,12518,40886,124,2056.89,0,4528,4,1,4,414,,,,,,,,
,,,12519,40823,18,340.84,63,4591,2,3,2,232,,,,,,,,
,,,12520,40807,155,2582.51,79,4607,2,1,4,214,,,,,,,,
,,,12521,40744,38,599.68,142,4670,2,3,2,232,,,,,,,,
,,,12522,40847,12,192.72,39,4567,3,4,1,341,,,,,,,,
,,,12523,40867,110,1745.57,19,4547,3,1,4,314,,,,,,,,
,,,12524,40877,144,4485.72,9,4537,4,1,4,414,,,,,,,,
,,,12526,40886,71,1316.66,0,4528,4,2,3,423,,,,,,,,
,,,12527,40805,18,348.71,81,4609,2,3,2,232,,,,,,,,
,,,12528,40877,95,1922.28,9,4537,4,2,4,424,,,,,,,,
,,,12530,40827,68,1623.63,59,4587,2,2,4,224,,,,,,,,
,,,12531,40872,17,125.22,14,4542,4,3,1,431,,,,,,,,
,,,12532,40856,16,349.83,30,4558,3,4,2,342,,,,,,,,
,,,12534,40756,63,1089.18,130,4658,2,2,3,223,,,,,,,,
,,,12535,40795,34,716.35,91,4619,2,3,3,233,,,,,,,,
,,,12536,40843,273,4106.82,43,4571,3,1,4,314,,,,,,,,
,,,12538,40857,21,363.95,29,4557,3,3,2,332,,,,,,,,
,,,12539,40864,274,3852.5,22,4550,3,1,4,314,,,,,,,,
,,,12540,40867,481,13309.04,19,4547,3,1,4,314,,,,,,,,
,,,12541,40857,52,981.18,29,4557,3,2,3,323,,,,,,,,
,,,12544,40850,20,355.7,36,4564,3,3,2,332,,,,,,,,
,,,12545,40811,50,1000.39,75,4603,2,2,3,223,,,,,,,,
,,,12546,40840,70,1141.5,46,4574,3,2,3,323,,,,,,,,
,,,12547,40689,8,207.8,197,4725,1,4,1,141,,,,,,,,
,,,12548,40720,5,95.2,166,4694,1,4,1,141,,,,,,,,
,,,12550,40807,57,964.83,79,4607,2,2,3,223,,,,,,,,
,,,12551,40529,10,168,357,4885,1,4,1,141,,,,,,,,
,,,12552,40848,20,437.82,38,4566,3,3,2,332,,,,,,,,
,,,12553,40878,196,3652.25,8,4536,4,1,4,414,,,,,,,,
,,,12556,40836,121,603.71,50,4578,3,1,2,312,,,,,,,,
,,,12557,40870,33,11990.96,16,4544,4,3,4,434,,,,,,,,
,,,12558,40879,22,2.66E-14,7,4535,4,3,1,431,,,,,,,,
,,,12559,40576,22,536.21,310,4838,1,3,2,132,,,,,,,,
,,,12560,40881,111,2101.39,5,4533,4,1,4,414,,,,,,,,
,,,12561,40584,16,238.85,302,4830,1,4,1,141,,,,,,,,
,,,12562,40878,168,3781.74,8,4536,4,1,4,414,,,,,,,,
,,,12564,40625,21,456.9,261,4789,1,3,2,132,,,,,,,,
,,,12565,40598,10,131.17,288,4816,1,4,1,141,,,,,,,,
,,,12566,40800,20,346.7,86,4614,2,3,2,232,,,,,,,,
,,,12567,40864,463,9114.94,22,4550,3,1,4,314,,,,,,,,
,,,12569,40884,191,4064.99,2,4530,4,1,4,414,,,,,,,,
,,,12571,40847,34,519.61,39,4567,3,3,2,332,,,,,,,,
,,,12572,40878,62,1004.72,8,4536,4,2,3,423,,,,,,,,
,,,12573,40659,28,160.54,227,4755,1,3,1,131,,,,,,,,
,,,12574,40571,11,218.45,315,4843,1,4,1,141,,,,,,,,
,,,12576,40851,89,1306.98,35,4563,3,2,3,323,,,,,,,,
,,,12577,40851,148,595.4,35,4563,3,1,2,312,,,,,,,,
,,,12578,40865,120,2753.36,21,4549,3,1,4,314,,,,,,,,
,,,12579,40808,31,410.72,78,4606,2,3,2,232,,,,,,,,
,,,12580,40640,24,415.7,246,4774,1,3,2,132,,,,,,,,
,,,12581,40847,15,197.71,39,4567,3,4,1,341,,,,,,,,
,,,12582,40648,22,511.36,238,4766,1,3,2,132,,,,,,,,
,,,12583,40884,251,7187.34,2,4530,4,1,4,414,,,,,,,,
,,,12584,40883,126,1893.95,3,4531,4,1,4,414,,,,,,,,
,,,12585,40652,97,1982.81,234,4762,1,2,4,124,,,,,,,,
,,,12586,40869,12,179.94,17,4545,3,4,1,341,,,,,,,,
,,,12587,40879,4,144,7,4535,4,4,1,441,,,,,,,,
,,,12588,40847,10,214.9,39,4567,3,4,1,341,,,,,,,,
,,,12589,40858,35,646.68,28,4556,3,3,2,332,,,,,,,,
,,,12590,40675,70,9861.38,211,4739,1,2,4,124,,,,,,,,
,,,12591,40569,26,452.85,317,4845,1,3,2,132,,,,,,,,
,,,12592,40794,18,437.6,92,4620,2,3,2,232,,,,,,,,
,,,12593,40778,21,418.1,108,4636,2,3,2,232,,,,,,,,
,,,12594,40849,119,3320.22,37,4565,3,1,4,314,,,,,,,,
,,,12596,40835,27,618.27,51,4579,2,3,2,232,,,,,,,,
,,,12597,40867,214,3683.13,19,4547,3,1,4,314,,,,,,,,
,,,12598,40877,133,3002.68,9,4537,4,1,4,414,,,,,,,,
,,,12599,40857,62,1032.58,29,4557,3,2,3,323,,,,,,,,
,,,12600,40858,65,2581.04,28,4556,3,2,4,324,,,,,,,,
,,,12601,40697,29,569.56,189,4717,1,3,2,132,,,,,,,,
,,,12602,40828,12,153.12,58,4586,2,4,1,241,,,,,,,,
,,,12603,40865,3,739.2,21,4549,3,4,3,343,,,,,,,,
,,,12604,40807,16,254.18,79,4607,2,4,1,241,,,,,,,,
,,,12605,,3,-7.5,40886,45414,1,4,1,141,,,,,,,,
,,,12607,40826,202,3.06E-13,60,4588,2,1,1,211,,,,,,,,
,,,12609,40808,60,1126.85,78,4606,2,2,3,223,,,,,,,,
,,,12610,40864,111,2057.99,22,4550,3,1,4,314,,,,,,,,
,,,12611,40834,65,1193.32,52,4580,2,2,3,223,,,,,,,,
,,,12612,40812,21,643.59,74,4602,2,3,2,232,,,,,,,,
,,,12613,40829,163,3218.98,57,4585,2,1,4,214,,,,,,,,
,,,12614,40609,20,315.6,277,4805,1,3,2,132,,,,,,,,
,,,12615,40884,105,2291.19,2,4530,4,1,4,414,,,,,,,,
,,,12616,40791,36,657.25,95,4623,2,3,3,233,,,,,,,,
,,,12617,40857,42,355.53,29,4557,3,2,2,322,,,,,,,,
,,,12618,40865,11,177.31,21,4549,3,4,1,341,,,,,,,,
,,,12619,40870,95,3214.81,16,4544,4,2,4,424,,,,,,,,
,,,12620,40872,92,1339.41,14,4542,4,2,3,423,,,,,,,,
,,,12621,40885,474,13612.07,1,4529,4,1,4,414,,,,,,,,
,,,12622,40654,11,180.1,232,4760,1,4,1,141,,,,,,,,
,,,12623,40610,18,305.1,276,4804,1,3,2,132,,,,,,,,
,,,12624,40780,38,641.13,106,4634,2,3,2,232,,,,,,,,
,,,12625,40675,91,2614.32,211,4739,1,2,4,124,,,,,,,,
,,,12626,40863,307,6388.35,23,4551,3,1,4,314,,,,,,,,
,,,12627,40876,230,4478.53,10,4538,4,1,4,414,,,,,,,,
,,,12628,40882,43,769.61,4,4532,4,2,3,423,,,,,,,,
,,,12630,40877,64,1270.88,9,4537,4,2,3,423,,,,,,,,
,,,12631,40829,31,640.5,57,4585,2,3,2,232,,,,,,,,
,,,12633,40828,103,2140.63,58,4586,2,1,4,214,,,,,,,,
,,,12635,40797,101,1689.18,89,4617,2,2,4,224,,,,,,,,
,,,12637,40819,394,5953.25,67,4595,2,1,4,214,,,,,,,,
,,,12638,40853,39,671.69,33,4561,3,3,3,333,,,,,,,,
,,,12639,40648,22,486.1,238,4766,1,3,2,132,,,,,,,,
,,,12640,40863,53,1174.58,23,4551,3,2,3,323,,,,,,,,
,,,12641,40771,10,185.9,115,4643,2,4,1,241,,,,,,,,
,,,12642,40861,47,1013.26,25,4553,3,2,3,323,,,,,,,,
,,,12643,40758,24,3344.64,128,4656,2,3,4,234,,,,,,,,
,,,12644,40757,31,477.91,129,4657,2,3,2,232,,,,,,,,
,,,12645,40853,74,1755.38,33,4561,3,2,4,324,,,,,,,,
,,,12646,40882,45,1346.97,4,4532,4,2,3,423,,,,,,,,
,,,12647,40864,128,3669.92,22,4550,3,1,4,314,,,,,,,,
,,,12648,40732,21,318.05,154,4682,1,3,2,132,,,,,,,,
,,,12649,40779,33,603.71,107,4635,2,3,2,232,,,,,,,,
,,,12650,40883,20,314.44,3,4531,4,3,2,432,,,,,,,,
,,,12651,40552,9,114,334,4862,1,4,1,141,,,,,,,,
,,,12652,40555,51,914.53,331,4859,1,2,3,123,,,,,,,,
,,,12653,40738,43,2209.85,148,4676,1,2,4,124,,,,,,,,
,,,12654,40876,38,601.98,10,4538,4,3,2,432,,,,,,,,
,,,12656,40869,130,3982.72,17,4545,3,1,4,314,,,,,,,,
,,,12657,40875,56,1152.06,11,4539,4,2,3,423,,,,,,,,
,,,12658,40868,36,686.05,18,4546,3,3,3,333,,,,,,,,
,,,12659,40857,5,91.68,29,4557,3,4,1,341,,,,,,,,
,,,12660,40875,13,245.1,11,4539,4,4,1,441,,,,,,,,
,,,12662,40886,232,3817.08,0,4528,4,1,4,414,,,,,,,,
,,,12664,40878,38,4863.88,8,4536,4,3,4,434,,,,,,,,
,,,12665,40562,4,61.75,324,4852,1,4,1,141,,,,,,,,
,,,12666,,2,-227.44,40886,45414,1,4,1,141,,,,,,,,
,,,12667,40828,33,620.13,58,4586,2,3,2,232,,,,,,,,
,,,12668,40875,168,3743.18,11,4539,4,1,4,414,,,,,,,,
,,,12669,40736,102,1607.73,150,4678,1,1,3,113,,,,,,,,
,,,12670,40876,94,2986.15,10,4538,4,2,4,424,,,,,,,,
,,,12672,40557,10,225.9,329,4857,1,4,1,141,,,,,,,,
,,,12673,40881,42,610.52,5,4533,4,2,2,422,,,,,,,,
,,,12674,40848,91,1919.31,38,4566,3,2,4,324,,,,,,,,
,,,12676,40862,45,1331.39,24,4552,3,2,3,323,,,,,,,,
,,,12678,40844,167,17588.26,42,4570,3,1,4,314,,,,,,,,
,,,12679,40828,56,1058.67,58,4586,2,2,3,223,,,,,,,,
,,,12680,40886,52,862.81,0,4528,4,2,3,423,,,,,,,,
,,,12681,40872,646,13677.59,14,4542,4,1,4,414,,,,,,,,
,,,12682,40883,525,12288.22,3,4531,4,1,4,414,,,,,,,,
,,,12683,40882,362,8221.09,4,4532,4,1,4,414,,,,,,,,
,,,12684,40879,105,2283.63,7,4535,4,1,4,414,,,,,,,,
,,,12685,40858,157,2863.08,28,4556,3,1,4,314,,,,,,,,
,,,12686,40515,7,89.14,371,4899,1,4,1,141,,,,,,,,
,,,12688,40773,171,4873.81,113,4641,2,1,4,214,,,,,,,,
,,,12689,40861,72,1247.61,25,4553,3,2,3,323,,,,,,,,
,,,12690,40681,16,389.01,205,4733,1,4,2,142,,,,,,,,
,,,12691,40858,32,1035.8,28,4556,3,3,3,333,,,,,,,,
,,,12693,40759,41,830.96,127,4655,2,3,3,233,,,,,,,,
,,,12694,40816,37,869.67,70,4598,2,3,3,233,,,,,,,,
,,,12695,40879,27,582.1,7,4535,4,3,2,432,,,,,,,,
,,,12697,40858,43,939.02,28,4556,3,2,3,323,,,,,,,,
,,,12700,40879,270,4867.99,7,4535,4,1,4,414,,,,,,,,
,,,12701,40807,53,797.71,79,4607,2,2,3,223,,,,,,,,
,,,12702,40867,12,219,19,4547,3,4,1,341,,,,,,,,
,,,12703,40815,22,274.7,71,4599,2,3,1,231,,,,,,,,
,,,12704,40879,90,2220.84,7,4535,4,2,4,424,,,,,,,,
,,,12705,40871,348,6814.24,15,4543,4,1,4,414,,,,,,,,
,,,12707,40595,33,603.42,291,4819,1,3,2,132,,,,,,,,
,,,12708,40857,174,2616.32,29,4557,3,1,4,314,,,,,,,,
,,,12709,40871,257,9294.1,15,4543,4,1,4,414,,,,,,,,
,,,12710,40790,79,1130.57,96,4624,2,2,3,223,,,,,,,,
,,,12712,40858,142,4241.63,28,4556,3,1,4,314,,,,,,,,
,,,12713,40886,38,848.55,0,4528,4,3,3,433,,,,,,,,
,,,12714,40877,259,4708.86,9,4537,4,1,4,414,,,,,,,,
,,,12715,40780,21,353.86,106,4634,2,3,2,232,,,,,,,,
,,,12716,40883,69,1053.49,3,4531,4,2,3,423,,,,,,,,
,,,12717,40735,56,980.98,151,4679,1,2,3,123,,,,,,,,
,,,12718,40815,19,238.25,71,4599,2,3,1,231,,,,,,,,
,,,12719,40881,42,608.1,5,4533,4,2,2,422,,,,,,,,
,,,12720,40884,359,5713.28,2,4530,4,1,4,414,,,,,,,,
,,,12721,40855,164,2628.98,31,4559,3,1,4,314,,,,,,,,
,,,12722,40801,57,904.33,85,4613,2,2,3,223,,,,,,,,
,,,12723,40883,69,725.07,3,4531,4,2,3,423,,,,,,,,
,,,12724,40881,53,1031.41,5,4533,4,2,3,423,,,,,,,,
,,,12725,40515,24,427.8,371,4899,1,3,2,132,,,,,,,,
,,,12726,40858,124,2609.1,28,4556,3,1,4,314,,,,,,,,
,,,12727,40876,141,3947.7,10,4538,4,1,4,414,,,,,,,,
,,,12728,40815,46,836.33,71,4599,2,2,3,223,,,,,,,,
,,,12729,40773,26,453.01,113,4641,2,3,2,232,,,,,,,,
,,,12731,40863,277,18793.41,23,4551,3,1,4,314,,,,,,,,
,,,12732,40707,12,236.26,179,4707,1,4,1,141,,,,,,,,
,,,12733,40652,22,383.95,234,4762,1,3,2,132,,,,,,,,
,,,12734,40534,4,110.4,352,4880,1,4,1,141,,,,,,,,
,,,12735,40571,43,779.57,315,4843,1,2,3,123,,,,,,,,
,,,12736,40554,4,234,332,4860,1,4,1,141,,,,,,,,
,,,12738,40514,11,155.35,372,4900,1,4,1,141,,,,,,,,
,,,12739,40808,38,1013.04,78,4606,2,3,3,233,,,,,,,,
,,,12740,40823,27,427.6,63,4591,2,3,2,232,,,,,,,,
,,,12743,40752,134,546.43,134,4662,2,1,2,212,,,,,,,,
,,,12744,40835,229,9120.39,51,4579,2,1,4,214,,,,,,,,
,,,12747,40884,103,4196.01,2,4530,4,1,4,414,,,,,,,,
,,,12748,40886,4642,29072.1,0,4528,4,1,4,414,,,,,,,,
,,,12749,40883,231,3868.2,3,4531,4,1,4,414,,,,,,,,
,,,12750,40758,15,275.88,128,4656,2,4,1,241,,,,,,,,
,,,12752,40805,53,4366.78,81,4609,2,2,4,224,,,,,,,,
,,,12753,40864,230,21024.01,22,4550,3,1,4,314,,,,,,,,
,,,12754,40651,65,2949.12,235,4763,1,2,4,124,,,,,,,,
,,,12755,40606,6,2203.2,280,4808,1,4,4,144,,,,,,,,
,,,12756,40800,4,112.08,86,4614,2,4,1,241,,,,,,,,
,,,12757,40871,377,4227.7,15,4543,4,1,4,414,,,,,,,,
,,,12758,40770,97,2791.59,116,4644,2,2,4,224,,,,,,,,
,,,12759,40834,95,1531.44,52,4580,2,2,3,223,,,,,,,,
,,,12762,40879,69,1898.52,7,4535,4,2,4,424,,,,,,,,
,,,12763,40748,18,494.08,138,4666,2,3,2,232,,,,,,,,
,,,12764,40570,45,1693.88,316,4844,1,2,4,124,,,,,,,,
,,,12766,40883,310,6989.63,3,4531,4,1,4,414,,,,,,,,
,,,12769,40648,32,1143.6,238,4766,1,3,3,133,,,,,,,,
,,,12770,40676,12,1351.45,210,4738,1,4,3,143,,,,,,,,
,,,12772,40827,55,892.47,59,4587,2,2,3,223,,,,,,,,
,,,12775,40869,67,1351.24,17,4545,3,2,3,323,,,,,,,,
,,,12778,40867,51,804.23,19,4547,3,2,3,323,,,,,,,,
,,,12779,40849,159,3868.7,37,4565,3,1,4,314,,,,,,,,
,,,12781,40823,30,707.72,63,4591,2,3,3,233,,,,,,,,
,,,12782,40882,107,2273.32,4,4532,4,1,4,414,,,,,,,,
,,,12783,40884,86,1603.87,2,4530,4,2,3,423,,,,,,,,
,,,12784,40877,59,574.42,9,4537,4,2,2,422,,,,,,,,
,,,12785,40522,15,305.71,364,4892,1,4,2,142,,,,,,,,
,,,12787,40877,20,463.66,9,4537,4,3,2,432,,,,,,,,
,,,12789,40821,4,91.85,65,4593,2,4,1,241,,,,,,,,
,,,12790,40694,21,324.92,192,4720,1,3,2,132,,,,,,,,
,,,12791,40513,2,192.6,373,4901,1,4,1,141,,,,,,,,
,,,12792,40630,25,400.54,256,4784,1,3,2,132,,,,,,,,
,,,12793,40552,24,545.48,334,4862,1,3,2,132,,,,,,,,
,,,12794,40833,45,860.41,53,4581,2,2,3,223,,,,,,,,
,,,12795,40868,14,430.48,18,4546,3,4,2,342,,,,,,,,
,,,12797,40521,17,194.18,365,4893,1,3,1,131,,,,,,,,
,,,12798,40876,8,6977.04,10,4538,4,4,4,444,,,,,,,,
,,,12802,40700,26,412.58,186,4714,1,3,2,132,,,,,,,,
,,,12808,40850,28,483.65,36,4564,3,3,2,332,,,,,,,,
,,,12809,40709,26,484.36,177,4705,1,3,2,132,,,,,,,,
,,,12811,40626,31,514.85,260,4788,1,3,2,132,,,,,,,,
,,,12812,40842,15,229.64,44,4572,3,4,1,341,,,,,,,,
,,,12814,40785,2,125.92,101,4629,2,4,1,241,,,,,,,,
,,,12815,40739,47,1063.46,147,4675,1,2,3,123,,,,,,,,
,,,12816,40791,29,572.2,95,4623,2,3,2,232,,,,,,,,
,,,12817,40605,4,166.04,281,4809,1,4,1,141,,,,,,,,
